Top 10 - 60 and over Female (1998-2017)
Name	Age	Time	Year
Zsofia Franck	60	25:35	2013
Zsofia Frank	63	26:55	2016
Zsofia Franck	64	27:16	2017
Mickey Piscitelli	60	30:11	2017
Anne Snedaker	66	32:03	2017
Marilyn Miller	60	32:59	2002
Holly Hardie	60	33:44	2014
Marilyn Miller	61	34:13	2003
Holly Hardie	61	34:31	2015
Joanne Dabulewicz	63	35:37	2016
